name,ra,dec,alt_name,selection_type
Abell 13,3.3842,-19.501,MCXC J0013.6-1930,R
Abell 22,5.1608,-25.722,MCXC J0020.7-2542,R
Abell 33,6.7792,-19.5067,,R
Abell 85,10.4529,-9.318,MCXC J0041.8-0918,R
Abell 133,15.6879,-21.88,MCXC J0102.7-2152,R
Abell 168,18.7908,0.2475,MCXC J0115.2+0019,R
Abell 194,21.4458,-1.3731,MCXC J0125.6-0124,R
Abell 209,22.9896,-13.5764,MCXC J0131.8-1336,R
Abell 370,39.9604,-1.5856,ZwCl 0237.2-0146,R
Abell 521,73.5358,-10.2442,MCXC J0454.1-1014,R
Abell 545,83.1017,-11.5431,MCXC J0532.3-1131,R
Abell 548,86.7571,-25.6164,,R
Abell 2485,342.1371,-16.1064,MCXC J2248.5-1606,R
Abell 2597,351.3321,-12.1244,MCXC J2325.3-1207,R
Abell 2645,355.32,-9.0275,MCXC J2341.2-0901,R
Abell 2667,357.9196,-26.0836,MCXC J2351.6-2605,R
Abell 2744,3.5671,-30.383,MCXC J0014.3-3023,R
Abell 2751,4.058,-31.3885,MCXC J0016.3-3121,R
Abell 2811,10.5368,-28.5358,MCXC J0042.1-2832,R
Abell 2813,10.8517,-20.6214,MCXC J0043.4-2037,R
Abell 2895,19.5463,-26.9731,MCXC J0118.1-2658,R
Abell 3365,87.05,-21.935,,R
Abell 3376,90.4256,-39.9851,MCXC J0601.7-3959,R
Abell 3558,201.9783,-31.4922,MCXC J1327.9-3130,R
Abell 3562,202.7833,-31.6731,MCXC J1333.6-3139,R
Abell 3667,303.1403,-56.8406,MCXC J2012.5-5649,R
Abell 4038,356.8796,-28.2028,MCXC J2347.7-2808,R
Abell S295,41.4,-53.038,PSZ1 G271.48-56.57,R
Abell S1063,342.1813,-44.5289,MCXC J2248.7-4431,R
Abell S1121,351.2844,-41.2118,PSZ2 G348.90-67.37,R
Bullet,104.6579,-55.95,MCXC J0658.5-5556,R
El Gordo,15.7188,-49.2495,ACT-CL J0102-4915,R
MACS J0025.4-1222,6.3724,-12.377,MCXC J0025.4-1222,R
MACS J0257.6-2209,44.4179,-22.1628,MCXC J0257.6-2209,R
MACS J0417.5-1155,64.3942,-11.9089,MCXC J0417.5-1154,R
PLCK G200.9-28.2,72.5871,-2.9493,,R
RXC J0225.1-2928,36.375,-29.5,MCXC J0225.1-2928,R
RXC J0510.7-0801,77.6846,-8.02,MCXC J0510.7-0801,R
RXC J0520.7-1328,80.1967,-13.5022,PSZ1 G215.29-26.09,R
RXC J1314.4-2515,198.5988,-25.2558,MCXC J1314.4-2515,R
RXC J2351.0-1954,357.7704,-19.9133,,R
J0014.3-6604,3.5767,-66.0775,Abell 2746,X
J0027.3-5015,6.8388,-50.2511,Abell 2777,X
J0051.1-4833,12.7967,-48.5597,Abell 2830,X
J0108.5-4020,17.1383,-40.35,Abell 2874,X
J0117.8-5455,19.4604,-54.9239,RXC J0117.8-5455,X
J0145.0-5300,26.2596,-53.0139,Abell 2941,X
J0145.2-6033,26.3196,-60.565,PSZ1 G291.34-55.32,X
J0212.8-4707,33.2246,-47.1328,Abell 2988,X
J0216.3-4816,34.0796,-48.2731,Abell 2998,X
J0217.2-5244,34.3025,-52.7469,ACT-CL J0217-5245,X
J0225.9-4154,36.4775,-41.9097,Abell 3017,X
J0232.2-4420,38.07,-44.3475,PSZ2 G259.98-63.43,X
J0303.7-7752,45.9433,-77.8692,PSZ1 G294.68-37.01,X
J0314.3-4525,48.5825,-45.4242,Abell 3104,X
J0317.9-4414,49.4938,-44.2389,Abell 3112,X
J0328.6-5542,52.1563,-55.7128,Abell 3126,X
J0336.3-4037,54.0779,-40.6222,Abell 3140,X
J0342.8-5338,55.7246,-53.6353,Abell 3158,X
J0351.1-8212,57.7871,-82.2167,Abell S405,X
J0352.4-7401,58.1229,-74.0308,Abell 3186,X
J0406.7-7116,61.6908,-71.275,,X
J0416.7-5525,64.1871,-55.4189,,X
J0431.4-6126,67.8504,-61.4439,Abell 3266,X
J0449.9-4440,72.48,-44.6781,Abell 3292,X
J0510.2-4519,77.5575,-45.3211,Abell 3322,X
J0516.6-5430,79.1583,-54.5142,Abell S520,X
J0525.8-4715,81.465,-47.2506,Abell 3343,X
J0528.9-3927,82.2346,-39.4628,PSZ2 G244.37-32.15,X
J0540.1-4050,85.0263,-40.8422,Abell S540,X
J0540.1-4322,85.0417,-43.3822,Abell 3360,X
J0542.8-4100,85.7117,-41.0014,CL J0542.8-4100,X
J0543.4-4430,85.8517,-44.5053,,X
J0545.5-4756,86.3775,-47.9406,Abell 3363,X
J0600.8-5835,90.2013,-58.5872,Abell S560,X
J0607.0-4928,91.7558,-49.4833,Abell 3380,X
J0610.5-4848,92.6333,-48.8072,,X
J0616.8-4748,94.2233,-47.805,PSZ1 G255.64-25.30,X
J0625.2-5521,96.3179,-55.3517,,X
J0626.3-5341,96.595,-53.6956,Abell 3391,X
J0627.2-5428,96.81,-54.47,Abell 3395,X
J0631.3-5610,97.8363,-56.1722,,X
J0637.3-4828,99.3288,-48.4783,Abell 3399,X
J0638.7-5358,99.6938,-53.9717,Abell S592,X
J0645.4-5413,101.3721,-54.2189,Abell 3404,X
J0658.5-5556,104.6296,-55.9469,Bullet,X
J0712.0-6030,108.0225,-60.5017,,X
J0738.1-7506,114.5375,-75.1067,PSZ1 G287.05-23.21,X
J0745.1-5404,116.29,-54.0789,CIZA J0745.1-5404,X
J0757.7-5315,119.4438,-53.2636,Abell S606,X
J0812.5-5714,123.1263,-57.235,PSZ2 G271.60-12.50,X
J0820.9-5704,125.2483,-57.0797,PSZ1 G272.08-11.51,X
J0943.4-7619,145.8542,-76.3325,CIZA J0943.4-7619,X
J0948.6-8327,147.1642,-83.4656,,X
J1040.7-7047,160.1867,-70.7969,CIZA J1040.7-7047,X
J1130.0-4213,172.5233,-42.2297,PSZ1 G287.22+18.13,X
J1145.6-5420,176.4108,-54.3414,PSZ1 G293.32+07.33,X
J1201.0-4623,180.2642,-46.3906,CIZA J1201.0-4623,X
J1240.2-4825,190.0571,-48.4328,,X
J1248.7-4118,192.1996,-41.3078,Abell 3526,X
J1358.9-4750,209.7371,-47.8386,CIZA J1358.9-4750,X
J1410.4-4246,212.6188,-42.7769,CIZA J1410.4-4246,X
J1423.7-5412,215.9304,-54.2033,CIZA J1423.7-5412,X
J1518.3-4632,229.595,-46.5403,CIZA J1518.3-4632,X
J1535.1-4658,233.7879,-46.9792,CIZA J1535.1-4658,X
J1539.5-8335,234.8913,-83.5922,,X
J1601.7-7544,240.4446,-75.7461,PSZ2 G313.88-17.11,X
J1645.4-7334,251.3592,-73.5817,PSZ2 G317.58-17.82,X
J1653.0-5943,253.2533,-59.7331,PSZ1 G329.36-09.88,X
J1705.1-8210,256.2929,-82.1739,Abell S792,X
J1840.6-7709,280.155,-77.1556,,X
J2023.4-5535,305.85,-55.5917,PSZ1 G342.33-34.92,X
J2104.9-8243,316.2446,-82.7228,Abell 3728,X
J2222.2-5235,335.5579,-52.5869,Abell 3870,X
J2319.2-6750,349.8,-67.84,Abell 3990,X
J2340.1-8510,355.0429,-85.1783,Abell 4023,X
